barcode_id,brand,product_name,energy_kcal,sodium_mg,has_msg,country
5285000396437,null,,467.0,1600.0,0,"Morocco, en:tunisia"
0089686120073,Indomie,indoumi goût poulet,453.0,1840.0,0,"Morocco,Tunisia,Qatar"
8852018101024,Yum Yum,YumYum Chicken,62.9,252.0,1,"Tschechien,Dänemark,Frankreich,Deutschland,Niederlande"
5285000397465,beldi,Indomie,443.0,0.0,0,"Morocco, en:tunisia"
8801043150620,NONGSHIM,"Shin Ramyun Instant Noodles, Hot & Spicy",422.0,1520.0,1,"Croatia,France,Germany,South Korea,Switzerland,United Kingdom,Lithuania"
8852018101055,"YumYum, Yum Yum",Shrimp Flavour,78.0,336.0,1,"Finland,France,Germany"
5285000396819,Indomie,Poulet citron,447.0,730.0,1,"Morocco,Tunisia"
5000354405099,Batchelors,SUPER NOODLES Chicken flavour,146.0,187.0,1,United Kingdom
8852018101017,"Yum Yum, YumYum",YumYum Beef,79.0,384.0,1,"Belgique,Danemark,France,Allemagne,Thaïlande"
6111269970417,Noody,Ramen,440.0,1200.0,0,ma
8801073113893,Samyang,Carbonara Buldak Spicy Ramen,423.0,1020.0,0,"Finland,France,Germany,Morocco,Norway,Thailand"
3229820181363,Tanoshi,Ramen soja caramel,163.0,600.0,0,France
8901058000290,Nestle,maggi,384.0,1030.0,0,India
5997523313111,NISSIN,Soba classic,206.0,760.0,1,"Belgien,Frankreich,Deutschland,Schweiz"
8801073110502,"Buldak,Samyang",Buldak Original,379.0,1164.0,1,"Bolivia,Croatia,France,Germany,Morocco,Netherlands,South Korea,United Kingdom,United States"
8852018101062,Yum Yum,Vegetable Flavour,0.0,840.0,1,"Frankreich,Deutschland"
8712429350100,Nissin,Demae Ramen - Chicken,0.0,0.0,1,"Frankreich,Deutschland,Schweden,Schweiz,Vereinigtes Königreich"
8801073113428,"Buldak,Samyang",Spicy Ramen,393.0,971.0,0,"Croatia,Denmark,Finland,France,Germany,Morocco,Netherlands"
3229820762043,Tanoshi,Nouilles poulet teriyaki,84.0,296.0,0,France
8722700027775,"Knorr, Unilever","Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ",377.0,3240.0,0,France
0089686120714,Indomie,Fried Noodles,475.0,1300.0,1,"France, Indonesia, en:morocco"
00322768,Sainsbury's,Medium egg Noodles,0.0,0.0,0,United Kingdom
8801073113312,Buldak,Buldak Artificial Spicy Chicken Flavor,407.0,971.0,0,"France,Germany,Malaysia,Morocco,Norway,Singapore"
00322775,Sainsbury's,Wholewheat medium Noodles,158.0,20.0,0,United Kingdom
5000118203503,Pot Noodle,Chicken & Mushroom Flavour Pot Noodle,457.0,830.0,1,"France,Ireland,United Kingdom,en:australia"
3229820765365,Tanoshi,Ramen saveur boeuf,160.0,760.0,0,France
8852018101031,Yum Yum,Instant Noodles Duck Flavour,75.0,388.0,1,"Kamerun,Frankreich,Deutschland"
8851876201549,Mama,Mama Instant Rice Noodles,353.0,68.0,0,"Finland,France,United Kingdom"
8410300349952,Gallina Blanca,Yatekomo Pollo,92.6,330.0,1,"Francia,España"
5060262485286,Itsu,Rice noodles Satay flavour,0.0,0.0,0,United Kingdom
3229820765372,Tanoshi,Nouilles japonaises saveur boeuf teppanyaki,80.0,340.0,0,France
5060262489741,Itsu,Rice noodles chick-n ramen,69.0,263.0,0,United Kingdom
5000118203664,KING,POT noodle Chicken & Mushroom flavour,136.0,235.0,1,"France, United Kingdom"
5060262485309,itsu,Rice noodles chilli miso,71.9,328.0,0,United Kingdom
3229820783017,Tien Shan,Nouilles de blé instantanées saveur poulet,111.0,0.0,1,France
5997523313159,Nissin,Soba Cup Noodles Teriyaki,203.0,592.0,1,"Belgium,France,Germany"
8410300352327,Gallina Blanca,Yakisoba classic,222.0,520.0,1,"Francia,España"
5997523311230,Nissin,SOBA Cup Yakitori Poulet,221.0,760.0,1,France
8712429350407,Nissin,"Demae ramen, sésame",91.0,440.0,1,"France, Germany, Switzerland, en:united-kingdom"
5285000395164,Maroc,Instant Noodles Vegetables Flavour,450.0,800.0,1,"France, Morocco, en:iraq"
3229820783031,Tien Shan,Mian Tiao saveur boeuf - 85 g - Tien Shan,112.0,320.0,1,France
8712429361106,Nissin,Demae Ramen Spicy,0.0,0.0,1,"Finnland,Frankreich,Deutschland,Schweden,Vereinigtes Königreich"
0841165156887,Noodlicious,Nouilles Instantanées : Poulet,479.0,1180.0,1,"Belgien, Frankreich, Germany"
0041789002113,Maruchan,Ramen Noodle Soup,430.0,1770.0,1,United States
8801043022705,Nongshim,SOON VEGGIE RAMYUN NOODLE,430.0,1640.0,0,"Croatie,République tchèque,France,Allemagne,Philippines,Roumanie,Russie,Suisse"
5997523317232,Nissin,Coup Noodles Beef,78.0,480.0,1,France
3038359003370,Lustucru,Lustucru banzaï noodle saveur curry,82.0,348.0,1,France
4088600260457,Make In Minutes By Aldi,Instant noodles chicken flavour,143.0,120.0,1,"France, en:united-kingdom"
4820179256918,REEVA,Instant soup with chicken flavor,413.0,2200.0,1,"Bulgaria, Romania, en:latvia"
0841165156870,Noodlicious,instant noodles,100.0,232.0,1,"Belgium, Germany, en:france"
5056053308667,Yorkshire Provender,Thai Green Chicken Noodles Soup,56.0,0.6,0,en:gb
8801043157742,Nongshim,Shin Kimchi,427.0,1800.0,1,"France,Germany,Switzerland,United Kingdom"
8445290753755,Maggi,Soupe chinoise déshydratée,27.0,220.0,0,France
3229820786711,"Tanoshi, Tanoshi japon",Nouilles Japonaises saveurs légumes et sauce soja,83.0,268.0,0,France
0070662010037,Nissin,Top Ramen Chicken Flavor Ramen Noodle Soup,447.0,106.0,1,United States
5997523315535,Nissin,Soba Chilli Noodles,0.0,0.0,1,"France,United Kingdom"
8852018101079,YumYum,Curry Flavour,0.0,0.0,1,"Belgium,France,Germany"
5052910433244,Tesco,Straight To Wok Medium Noodles,147.0,120.0,0,"France,United Kingdom,ireland"
5997523313135,"Cup Noodles, Nissin, Nissin Cup Noodles",Nudeln (instant) - Soba Chili mit Yakisoba-Sauce,208.0,480.0,1,"Belgien,Frankreich,Deutschland,Schweiz"
5060262485262,Itsu,Katsu rice noodles cup,338.0,1100.0,0,United Kingdom
8801043031011,Nongshim,Shin Cup Gourmet Spicy Noodle Soup,436.0,1928.0,1,"France,Germany,Spain,United Kingdom"
5997523324278,Nissin,Soba Classic,198.0,480.0,1,"Frankreich, Schweiz, Germany"
8480000224538,Hacendado,Noodles sabor pollo,94.0,320.0,1,Espanha
5901384506599,Ajinomoto,Nouilles sautées Yakisoba Curry Japonais,219.0,1.6,1,France
6091091000301,Apollo,Nouilles - Saveur Poulet,96.0,280.0,1,"France, en:mauritius"
0089686170047,Indomie,,1469.0,1560.0,1,"Hrvatska,Francuska,Njemačka,Maroko,Srbija"
3229820786681,Tien Shan,Nouilles de blé instantanées asiatiques saveur curry,77.0,400.0,1,France
0031146150601,NONGSHIM,SHIN NOODLES,433.0,1350.0,1,"France,United States,New Zealand"
5000118203480,Pot Noodle,Original Curry Flavour Noodles,136.0,184.0,1,United Kingdom
5997523324292,Nissin,Soba Chili,200.0,467.0,1,"France,Allemagne,Suisse"
4056489754541,"Kania, Lidl",Instant nuddles vegetable,99.0,315.0,1,"Francia,España"
5414972130385,Aïki,Aïki nouilles chicken,97.0,520.0,1,en:be
3229820794716,Tanoshi,Nouilles Japonaises Saveur Curry Kaponais Épicé,81.0,224.0,0,France
0841165156863,Noodlicious,Nouilles Instantanées : Bœuf,85.0,620.0,0,"Бельгія,Франція,Німеччина"
0089686122015,Indomie,Indomie Chicken Noodles,464.0,1900.0,1,"France, en:morocco"
8801073116467,"Buldak,Samyang",Buldak Nudeln,427.1,1180.0,1,Germany
5997523313005,"Cup Noodles, Nissin",Cup Noodles Chicken,77.0,472.0,1,"Frankreich,Deutschland"
5901384506582,"Ajinomoto,Oyakata",Nouilles de blé poulet teriyaki,242.0,720.0,1,"France,Pologne"
4088600461298,Asia Specialties,Medium noodles,156.0,104.0,0,en:gb
5997523315511,Nissin,soba classic noodles,206.0,511.0,1,"France, Spain, en:united-kingdom"
6091091000172,Apollo,Nouilles - Saveur Curry,97.0,200.0,1,France
8801043157728,Nongshim,Nouilles Chapaghetti Nongshim,430.0,800.0,1,"Czech Republic,Finland,France,Germany,Switzerland"
5050665023741,Naked,Thai Sweet Chilli Egg Noodles,90.0,324.0,0,"France, en:united-kingdom"
5997523315559,Nissin,Soba Teriyaki Noodles,205.0,600.0,1,"France, en:united-kingdom"
5997523317218,nissin,Cup noodles chiken,0.0,0.0,1,France
3250391945313,"Intermarché, Itinéraire Des Saveurs",NOUILLES INSTANTANEES SAVEUR POULET 3x65g,161.0,267.2,1,France
8801073115514,Buldak,Buldak Habanero Lime Ramen,378.0,1170.0,1,"Germany,Thailand,United States,Kazakhstan,Australia,Singapore,Malaysia"
5060960661562,Itsu,Crystal noodles sesame glaze,120.0,334.0,0,United Kingdom
5000118203688,King Pot Noodle,pot noodle original curry,137.0,184.0,1,"France,United Kingdom,Ireland"
4056489754527,VITASIA,Kania,99.0,292.0,1,France
8901058000306,Nestle,Maggi noodles masala,386.0,1030.0,0,India
8801073114531,Samyang,Buldak Kimchi : Hot chicken flavor ramen,385.0,1270.0,0,"Finland, South Korea, en:germany"
5901882110014,"Tan-Viet, Vifon",Kurczak Zloty,72.0,280.0,1,"France, Poland, en:united-kingdom"
8888056603862,Koka,The Original Chicken Flavour,81.0,243.0,1,"France,Ireland,Portugal,United Kingdom"
8410300352280,Gallina Blanca,,224.0,480.0,1,"Francia,Singapur,España"
3038359911828,Panzani,Banzai noodle,83.0,480.0,1,en:fr
3580282816355,Chao'An,Nouilles asiatiques,352.0,0.0,0,France
5901384506575,Oyakata,Yakisoba soja classique,241.0,560.0,1,"Poland, en:france"
5997523324315,Nissin,Soba Wok Style Teriyaki,198.0,5520.0,1,"France,Allemagne,Espagne"
8712429350209,Nissin,Demae Ramen Beef Flavour,0.0,0.0,1,"Frankreich,Deutschland,Niederlande,Schweiz"
26038551,"Asia Green Garden, Petit Furet",Nouilles instantanées aux légumes,482.0,2520.0,0,"Australie, France"
3038359911811,Bandzaï noodle,Nouilles,288.0,1640.0,1,en:fr
5000118203695,King Pot Noodle,pot noodles bombay bad boy,136.0,163.0,0,United Kingdom
6111269970226,noody,instant noodles,0.0,0.0,0,en:Morocco
8801073114548,Samyang,Buldak 3x spicy,400.0,1090.0,1,"Germany,South Africa,South Korea"
5997523315733,Nissin,Soba Yakitori Chicken Noodles with Yakisoba Sauce,213.0,1.4,1,"France, en:united-kingdom"
4002359015489,Suzi wan,Nouilles saveur Pad thaï Crevettes,119.0,225.0,0,"Germany, en:france"
5000354914409,Batchelors,"Super Noodles, Curry Flavour",489.0,524.0,1,United Kingdom
8994963002800,INDOMIE,indomie Noodles,474.0,1130.0,1,"France, Germany, en:united-kingdom"
6111242801479,Unknown,Nouilles instantanées,334.0,400.0,0,"France, en:morocco"
5060250611406,kabuto noodles,chilli chicken ramen noodles imp,66.0,320.0,0,en:gb
3229820765389,Tanoshi,Nouilles Japonaise saveur crevette,81.0,224.0,0,France
3229820799896,Tanoshi,Nouilles japonaises saveur miso shiitaké & wakamé,60.0,304.0,0,France
5901384506650,Oyakata,Nouilles de blé,84.0,0.0,1,"Poland, en:france"
8480000087300,Hacendado,Yakisoba sabor soja,204.0,520.0,1,España
8712429130207,NISSIN,Cup Noodles 5 Spices Beef,81.0,440.0,1,"Frankreich,Deutschland,Schweiz"
8720182691835,Knorr,"Soupe Chinoise bouillon aux épices, nouilles, champignons noir",334.0,2480.0,0,France
5901384503635,Oyakata,Oyakata Japanese Classic Noodle Dish Cup,241.0,560.0,1,"Njemačka,Francuska,Nizozemska,Hrvatska,Italija"
5060250611390,Unknown,Chicken Ramen Noodles,66.0,360.0,0,en:gb
4056489754534,Vitasia,Instant Noodles Shrimp,99.0,0.0,1,"en:fr,"
0841165156832,Noodlicious,Instant Noodles Chicken,80.0,344.0,1,"France,en:be"
8852018101154,Yum Yum,Japanese Chicken Flavor,69.0,360.0,1,"Frankreich,Deutschland"
4820179253313,Reeva,"Instant Nudeln, Huhn",298.0,0.0,1,"Germany, United Kingdom, en:romania"
0841165156856,Noodlicious,Noodlicious beef Flavour,81.0,392.0,1,"Belgium,France,Germany"
9555022300016,Mamee,Nouilles instantanées saveur poulet,96.0,480.0,0,"Frankreich, Schweiz, Germany"
8712857981037,Noodlicious,Korean Ramen,84.0,307.0,0,"Germany, en:france"
5000354907357,Batchelors,Chicken Flavour Super Noodles,132.0,256.0,1,"France, en:united-kingdom"
5901384506636,Oyakata,Ramen Miso et Légumes,86.0,320.0,1,"Francja,Polska"
8722700153276,King,Pot Noodle Beef & Tomato flavour,463.0,690.0,1,"France, en:united-kingdom"
5901384506629,Oyakata,Yakisoba saveur Poulet pad thaï,236.0,560.0,1,"Poland, en:france"
8801073113947,SAMYANG,Jjajang Hot Chicken Flavor Ramen,400.0,1010.0,0,"France,Germany,Morocco,Norway"
6923744359002,Unknown,Noodles orientales,110.0,280.0,0,"en:fr, en:martinique"
5059697718687,Hearty Food Company,CHICKEN FLAVOUR INSTANT NOODLES,157.0,80.0,0,en:gb
5000118203497,Pot Noodle,Pot Noodle Beef & Tomato flavour,150.0,0.0,1,"France,Ireland,United Kingdom,en:united-kingdom"
8850987101090,Mama,"Nuudelit, kananmakuinen",62.0,433.0,1,"France,Germany,Switzerland"
3229820801605,Tanoshi,Nouilles japonaises Udon saveur Poulet Teriyaki,71.0,232.0,0,en:fr
8801043028158,Nongshim,Shin Kimchi Noodles,436.0,2360.0,1,"France, Germany, Poland, en:united-kingdom"
4056489750307,Kania,Instant noodles chicken flavour,100.0,288.0,1,en:fr
3229820801155,Tanoshi Corée,Ramen kimchi,160.0,370.0,0,en:fr
6923744359118,Unknown,Noodles orientales,110.0,280.0,0,en:fr
5997523329013,Nissin,Soba Fried Noodles Classic,198.0,500.0,1,"France, en:united-kingdom"
3036815444668,Daisuki,Nouilles saveur Poulet Teriyaki,92.0,332.0,1,France
5997523317096,Nissin,NOUILLES JAP. Crevettes Hamayaki,81.9,400.0,1,France
0089686170726,Indomie,Mi goreng Fried Noodles,471.0,918.0,1,"Australia,France,Indonesia,United States"
5997523315818,Nissin,Soba Cup Noodles,203.0,3280.0,1,"Germany,United Kingdom"
4002359018831,Suzi Wan,Nouilles Ramen saveur Boeuf Korean BBQ,167.0,440.0,0,France
3250392057183,itinéraire des saveurs,Saveur d'Asie - Cup Nouilles saveur poulet,91.4286,2320.0,0,France
19010588,"Maggi,Nestle",Chicken noodles,434.0,1255.1000000000001,0,India
7613036680028,MAGGI,Nudel Cup Xhicken Tase,103.0,440.0,0,"Österreich,Frankreich,Deutschland"
5000354405105,Batchelors,BBQ super noodles,151.0,157.0,1,en:United Kingdom
5997523312152,Nissin,Soba Classic Cup,206.0,520.0,0,"Sweden, en:romania"
0941458000290,Maggi,2-minute Noodles,443.0,671.0,0,"United States, en:india"
7613035062795,Maggi,3 Minute Chicken Flavour Noodles,459.0,2.48,0,"France, en:united-kingdom"
5050665022584,Naked Noodle,Egg Noodles Singapore Curry,83.0,212.0,0,"France, en:united-kingdom"
0089686170108,Indomie,Instant noodles chicken flavour,454.0,1680.0,1,"Bulgaria, France, Germany, en:romania"
5050665020429,Naked,Chinese Style Chow Mein Egg Noodles,89.6,365.0,0,en:gb
6091091000189,Apollo,Nouilles Instantanées - Saveur Crevettes,95.0,280.0,1,"France,Maurice"
5050665039841,Naked,Naked noodle soup,90.0,516.0,0,en:gb
8801045999906,Otoki,Jin Ramen Mild Noodle Soup,418.0,1570.0,1,"Australia,France,Qatar"
5023751000308,ko-lee,Instant Noodles,109.0,241.0,1,en:gb
8712566332137,Knorr,"Knorr Fix, Hühnersuppe",31.0,304.0,0,"France,Germany"
5901384506605,Ajinomoto,Yakisoba saveur boeuf wasabi,243.0,640.0,1,France
00159326,"Sainsbury's,By sainsbury's",Quick cook ribbon noodles,181.0,70.7,0,United Kingdom
0089686010947,Indomie,Indomie Mi Goreng Fried Noodle 85G,447.0,1260.0,1,"Perancis,Indonesia"
20567392,Vitasia,Wok noodles curry,161.0,72.0,0,"Frankreich, Germany"
5997523329037,Nissin,Soba Chilli Noodles,200.0,459.0,1,"France,United Kingdom"
5901384503642,Oyakata,Oyakata Japanese Chicken Teriyaki,242.0,720.0,1,"Francuska,Njemačka,Nizozemska,Hrvatska,Italija"
8480000224552,Hacendado,Fideos instantáneos sabor picante,93.0,388.0,1,Espanha
8801073140578,Samyang,Buldak Bokkeummyeon,400.0,1160.0,0,"Australia,Germany,United States"
8000050019443,Saikebon,Noodles alle verdure,92.0,300.0,1,Italy
5000118203541,Pot Noodle,Pot Noodle Bombay Bad Boy 90g,134.0,160.0,0,"France,United Kingdom"
3036811366506,Liebig,soupe à la chinoise,23.0,340.0,0,France
5997523315856,Nissin,Big Soba Teriyaki 230g,201.0,600.0,1,en:gb
5060262487884,Itsu,Sesame chicken,85.0,256.0,0,en:gb
8850100002488,"Thai Preserved Food Factory Co. Ltd., Wai Wai, ไวไว",Instant Noodles Casserole Beef Flavour,87.0,440.0,1,"France, United States"
8888056708109,Koka,Spicy Stir Fried Instant Noodle,0.0,0.0,0,"France, Ireland, en:united-kingdom"
3229820762036,Tanoshi,Nouilles japonaises saveur porc tonkotsu,81.0,272.0,0,France
8888056603961,Koka,Kola Noodle,461.0,1480.0,1,"France, en:united-kingdom"
8720182414137,Pot Noodle,Pot Noodle Lost the pot Chicken 85g,121.0,220.0,1,en:gb
8852018101147,"Yum Yum, YumYum",Grilled Chicken Flavour,281.0,1190.0,1,"France,Germany,Spain,Norway"
8712429130405,Nissin,Cup Noodles Crevettes,80.0,400.0,1,"Frankreich,Deutschland,en:Deutschland,en:Frankreich"
3229820803272,Tanoshi,Nouilles de riz précipités saveur poulet pour soupe pho,109.0,520.0,0,en:fr
0041789002311,"Maruchan,Maruchan  Inc.",Maruchan Chicken-Flavor Ramen Noodle Soup,441.86,1961.12,1,United States
8720828404324,Tummie Time,Korean BBQ noodles,439.0,1062.0,1,en:fr
8801073210776,Samyang,Buldak Original Spicy Ramen Cup,400.0,900.0,0,"France, Singapore, en:united-kingdom"
8801073141896,Samyang,Buldak HOT Chicken Flavor Ramen,393.0,983.0,0,"Australia,France,United States"
3229820181370,"Tanoshi, tanoshi Japon",Ramen saveur Crevette - Nouilles japonaises précuites,161.0,669.0,0,France
5050665045354,Naked,Japanese Style Chicken Yakisoba,103.0,405.0,0,en:gb
3229820783024,Tien Shan,Mian Tiao saveur crevettes - 85 g - Thien Shan,83.0,320.0,1,France
8720618986580,Unknown,Asian Style Chicken Flavour,439.0,1688.0,0,en:fr
8850987128547,MAMA,Noodle Creamy Shrimp Tom Yum,71.0,0.0,1,"Australia, Belgium, Finland, France, en:united-kingdom"
3250391945344,"Intermarché, Itinéraire des Saveurs",NOUILLES INSTANTANEES SAVEUR BŒUF 3x65g,148.0,332.0,0,France
3560071451714,Carrefour,Noodles saveur poulet & curry,109.0,284.0,0,en:fr
0041789002120,Maruchan,Ramen Noodle Soup Beef Flavor,442.0,1670.0,1,United States
3229820799902,Tanoshi,Nouilles saveur poulet yakitori et gingembre,60.0,304.0,0,en:fr
5901384506681,Ajinomoto,Ramen nouille de blé saveur poulet shio,90.0,388.0,1,"France,Pologne"
5997523317072,Nissin,Cup Noodles Hot Chili Spicy - Roasted Sesame Soup,79.0,520.0,1,Germany
5414972130415,,Aiki Noodle Hot & Spicy,97.0,520.0,1,Belgium
0041789001215,Marchand,Ramen,453.0,1800.0,1,Vereinigte Staaten von Amerika
4088600461243,Aldi,Ready to Wok rice noodles,146.0,56.0,0,en:gb
6923744319129,Noodle Master,Nouilles yakisoba saveur poulet cacahuètes,474.0,560.0,0,France
8852018800019,Yum Yum,Yum yum Thai coconut soup,104.0,800.0,1,France
3038359911835,Banzaï Noodle,Banzaï Noodle saveur curry,82.0,520.0,1,en:France
5997523313234,Nissin,Soba Yakitori Chicken,221.0,760.0,1,"Frankreich,Deutschland"
8901058851298,"Nestlé,Maggi",Maggi 2-minutes Noodles,437.0,1232.2,0,India
20536350,Kania,Pasta i Basta,79.0,280.0,0,"Česko,Maďarsko,Rumunsko"
8801043021883,Nongshim,China Nudeln,422.0,1495.0,0,"Germany, en:united-kingdom"
5901384506698,Oyakata,Ramen soja,90.0,0.0,0,"Poland, en:france"
5050665048690,Naked,Noodles,128.0,420.0,0,en:gb
8000050019436,Saikebon,Saikebon noodles manzo,91.9,317.0,0,"Francia,Italia"
5997523314804,Nissin,Cup Noodles Teriyaki Chicken,87.0,280.0,0,en:United Kingdom
5285000397847,Unknown,Nouilles instantanées,448.0,0.0,0,en:Morocco
8480000087270,Hacendado,Yakisoba sabor soja,219.0,560.0,1,Spain
8801043025256,Nongshim,Shin noodle spicy,436.0,1416.0,0,"Finland, France, Germany, Switzerland, en:united-kingdom"
0089686170115,Indomie,Chicken Flavour Noodles,444.0,1970.0,0,France
5050665048652,Naked,Ultimate noodles naked Japanese style chicken,142.0,318.0,0,en:United Kingdom
8801073114814,Samyang,Buldak Cream Carbonara Hot Chicken Flavor Ramen,393.0,1110.0,1,"Canada, Vietnam, en:morocco"
5060250611420,Unknown,Vegtable Laska imp,72.0,120.0,0,en:gb
5060960661586,Itsu,Crystal Noodles Sweet Soy Glaze,214.0,1080.0,0,en:United Kingdom
8994963002824,Indomie,Noodles Chicken,444.0,1970.0,1,"France,Poland,Indonesia"
8710522627433,"Knorr, Unilever",Asia Noodles - Chicken Taste,84.0,300.0,1,en:Germany
8852018201021,Yum Yum,Chicken Flavour,479.0,1390.0,1,"Frankrijk,Spanje"
8801043053167,Nongshim,Super Spicy Red Shin,426.0,1280.0,1,"Polen, Spanien, Germany"
5060960663245,Itsu,Big Bowl Noodles Sesame Ramen,72.1,300.0,0,en:United Kingdom
4056489354918,Lidl,Noodles instant chicken,163.0,208.0,0,en:gb
3229820803203,Tanoshi,Nouilles saveur Kimchie,61.0,336.0,0,en:fr
8801073113404,Buldak,Artificial Spicy Chicken Flavor Curry,414.29,948.0,1,"France,Germany,Norway"
5901384504854,Ajinomoto,Oyakata Japanese Curry,0.0,0.0,1,"France,Germany,United Kingdom"
8852018511052,Yum Yum,"Nouilles instantanées saveur poulet, pack de 5",76.0,320.0,1,"Frankreich,Deutschland"
8850987128561,Mama,Mama Chicken,72.0,393.0,1,"France, Germany, en:finland"
0070662030035,"Nissin,Cup Noodles",Cup Noodles Chicken Flavor,453.0,1810.0,0,"Bolivia,Estados Unidos"
5997523311216,Nissin,SOBA Cup Sukiyaki Bœuf,220.0,760.0,1,France
0059491000501,MR. NOODLES,Instant Noodles,442.0,1400.0,1,"Canada,France"
